Tissue	State	Gene	Function	MutFreq	LossFreq	GainFreq	NoMutLoss	MutLoss	NoMutWT	MutWT	NoMutGain	MutGain
Developmental-GI-Tract	Metastasis	PIK3CA	OG	0.032618825722274	0.0717614165890028	0.143522833178006	76	3	814	30	151	5
Developmental-GI-Tract	Metastasis	TERT	OG	0.0232991612301957	0.0316868592730662	0.177073625349487	32	4	833	18	186	6
Developmental-GI-Tract	Metastasis	U2AF1	OG	0.0149114631873253	0.185461323392358	0.0400745573159366	199	2	817	16	44	1
Endocrine	Primary	ARID1A	TSG	0.0208333333333333	0.109375	0.0364583333333333	22	1	161	5	8	1
Endocrine	Primary	ATM	TSG	0.0260416666666667	0.135416666666667	0	27	1	162	6	1	1
Endocrine	Primary	MEN1	TSG	0.0260416666666667	0.114583333333333	0.0520833333333333	19	5	160	2	11	1
Endocrine	Primary	TERT	OG	0.541666666666667	0.0885416666666667	0.104166666666667	11	8	67	90	13	9
Endocrine	Metastasis	ATM	TSG	0.0350877192982456	0.175438596491228	0.0087719298245614	39	3	181	7	3	1
Endocrine	Metastasis	CDKN2A	TSG	0.0307017543859649	0.276315789473684	0.0087719298245614	58	7	163	2	3	1
Endocrine	Metastasis	MEN1	TSG	0.0263157894736842	0.100877192982456	0.0614035087719298	20	5	190	3	15	1
Endocrine	Metastasis	RB1	TSG	0.0131578947368421	0.135964912280702	0.0175438596491228	29	4	194	1	5	1
Endocrine	Metastasis	ZFHX3	TSG	0.0175438596491228	0.105263157894737	0.0482456140350877	25	1	190	5	12	1
Endocrine	Metastasis	TERT	OG	0.701754385964912	0.0921052631578947	0.179824561403509	10	13	44	124	17	26
Genitourinary	Primary	APC	TSG	0.0290923196276183	0.133824670287044	0.0465477114041893	309	38	2077	38	120	2
Genitourinary	Primary	ASXL1	TSG	0.0135764158262219	0.0159038013964313	0.130721489526765	42	1	2174	28	330	9
Genitourinary	Primary	ATM	TSG	0.0321955003878976	0.135764158262219	0.0209464701318852	338	14	2107	69	53	3
Genitourinary	Primary	BAP1	TSG	0.0232738557020946	0.130721489526765	0.0480993017843289	316	23	2080	39	125	1
Genitourinary	Primary	BRCA2	TSG	0.021722265321955	0.110162916989915	0.0399534522885958	279	7	2142	51	104	1
Genitourinary	Primary	CDH1	TSG	0.0112490302560124	0.147788983708301	0.0496508921644686	372	11	2051	20	129	1
Genitourinary	Primary	CDKN2A	TSG	0.0166795965865012	0.235453840186191	0.0294802172226532	585	24	1878	19	75	3
Genitourinary	Primary	EP300	TSG	0.0263770364623739	0.100853374709077	0.0298681148176881	254	8	2183	60	76	3
Genitourinary	Primary	FAT1	TSG	0.0193948797517455	0.119860356865787	0.0166795965865012	304	7	2184	44	43	2
Genitourinary	Primary	FBXW7	TSG	0.030256012412723	0.11055081458495	0.0155159038013964	275	12	2188	67	40	2
Genitourinary	Primary	KMT2A	TSG	0.0221101629169899	0.134988363072149	0.0193948797517455	346	4	2128	54	50	2
Genitourinary	Primary	KMT2C	TSG	0.0488750969743988	0.0508145849495733	0.133436772692009	125	8	2003	102	327	19
Genitourinary	Primary	NCOR1	TSG	0.0190069821567106	0.167959658650116	0.025989138867339	422	13	2043	37	67	2
Genitourinary	Primary	PBRM1	TSG	0.0473235065942591	0.126842513576416	0.0581846392552366	253	76	2055	48	151	1
Genitourinary	Primary	PTEN	TSG	0.0484871993793638	0.127230411171451	0.0197827773467804	295	35	2110	91	51	2
Genitourinary	Primary	RB1	TSG	0.0554693560899922	0.226144297905353	0.0205585725368503	522	63	1871	73	45	10
Genitourinary	Primary	SETD2	TSG	0.0279286268425136	0.124127230411171	0.0554693560899922	287	35	2078	39	144	1
Genitourinary	Primary	TET2	TSG	0.0100853374709077	0.10822342901474	0.0139643134212568	278	3	2240	25	37	1
